Symbol,ESG Risk Level,Total ESG Risk score
A,Low,15.0
AAL,,29.0
AAP,Negligible,12.0
AAPL,Low,17.0
ABBV,Medium,28.0
ABC,Low,12.0
ABT,Medium,25.0
ACGL,,21.0
ACN,Negligible,10.0
ADBE,Low,12.0
ADI,Medium,24.0
ADM,Severe,36.0
ADP,Low,14.0
ADSK,Negligible,16.0
AEE,Medium,30.0
AEP,,26.0
AES,High,34.0
AFL,Negligible,17.0
AIG,,25.0
AIZ,,24.0
AJG,Medium,21.0
AKAM,Low,17.0
ALB,,29.0
ALL,Negligible,19.0
ALLE,,24.0
AMAT,Low,12.0
AME,Medium,24.0
AMGN,Medium,22.0
AMP,Medium,23.0
AMT,Low,11.0
AMZN,High,30.0
ANET,Negligible,16.0
ANSS,Negligible,13.0
AOS,,25.0
APA,High,39.0
APD,Low,11.0
APH,Medium,21.0
APTV,Negligible,12.0
ARE,Low,14.0
ATO,High,35.0
ATVI,Low,19.0
AVB,Negligible,11.0
AVGO,Medium,22.0
AVY,Low,15.0
AWK,,22.0
AXP,Low,18.0
AZO,Low,11.0
BA,High,35.0
BAC,Medium,27.0
BALL,Low,11.0
BAX,Medium,24.0
BBWI,Negligible,16.0
BBY,Low,14.0
BDX,Medium,27.0
BEN,Negligible,18.0
BG,High,34.0
BIIB,Medium,21.0
BIO,Negligible,17.0
BK,Medium,21.0
BKNG,Medium,22.0
BLK,Medium,21.0
BMY,Medium,23.0
BR,Low,16.0
BRO,Medium,21.0
BSX,Medium,26.0
BWA,Negligible,13.0
BXP,Negligible,13.0
C,Medium,27.0
CAG,High,32.0
CAH,Negligible,12.0
CAT,High,34.0
CB,Medium,24.0
CBOE,Medium,21.0
CBRE,,7.0
CCI,Low,13.0
CCL,Medium,24.0
CDNS,Low,12.0
CDW,,9.0
CE,Medium,29.0
CF,High,30.0
CFG,Medium,23.0
CHD,Negligible,20.0
CHRW,,20.0
CHTR,,27.0
CI,Low,12.0
CINF,Medium,26.0
CL,Medium,22.0
CLX,Medium,21.0
CMA,,26.0
CMCSA,Medium,25.0
CME,Low,15.0
CMG,Medium,24.0
CMI,Low,19.0
CMS,Medium,21.0
CNC,Medium,21.0
CNP,Medium,26.0
COF,,23.0
COO,Low,20.0
COP,High,35.0
COST,Medium,24.0
CPB,,24.0
CPRT,Low,18.0
CPT,Low,16.0
CRM,Low,13.0
CSCO,Low,12.0
CSGP,Medium,27.0
CSX,Medium,20.0
CTAS,Negligible,18.0
CTRA,Severe,46.0
CTSH,Low,14.0
CVS,Medium,23.0
CVX,High,38.0
D,Medium,25.0
DAL,,26.0
DD,Medium,29.0
DE,Low,17.0
DFS,,23.0
DG,Low,17.0
DGX,Medium,21.0
DHI,Medium,22.0
DHR,Low,12.0
DIS,Low,15.0
DLR,Low,13.0
DLTR,Low,15.0
DOV,Medium,25.0
DPZ,High,31.0
DRI,Medium,28.0
DTE,Severe,30.0
DUK,Medium,28.0
DVA,,23.0
DVN,High,37.0
DXC,Negligible,16.0
DXCM,,24.0
EA,Low,10.0
EBAY,Negligible,17.0
ECL,,24.0
ED,Medium,23.0
EFX,,26.0
EIX,,27.0
EL,Medium,26.0
ELV,Low,11.0
EMN,,25.0
EMR,Medium,29.0
EOG,High,36.0
EQIX,Low,12.0
EQR,Negligible,11.0
EQT,High,37.0
ES,Negligible,19.0
ESS,Low,12.0
ETN,Low,18.0
ETR,Medium,30.0
EW,Low,19.0
EXC,Medium,24.0
EXPD,Low,16.0
EXPE,Medium,26.0
EXR,Negligible,14.0
F,Medium,30.0
FAST,Medium,26.0
FCX,High,32.0
FDS,Medium,20.0
FDX,Medium,20.0
FE,Medium,30.0
FFIV,Negligible,19.0
FIS,Low,18.0
FITB,Low,17.0
FLT,Low,18.0
FMC,Severe,33.0
FRT,Negligible,12.0
FTNT,Low,19.0
FTV,Severe,35.0
GD,High,35.0
GE,Severe,41.0
GEN,Low,15.0
GILD,Medium,22.0
GIS,,22.0
GL,,20.0
GLW,Negligible,19.0
GM,High,31.0
GOOGL,Medium,24.0
GPC,Negligible,13.0
GPN,Low,19.0
GRMN,Low,19.0
GS,Medium,26.0
GWW,Low,15.0
HAL,Medium,24.0
HAS,,7.0
HBAN,Medium,20.0
HCA,Medium,28.0
HD,Low,13.0
HES,Severe,36.0
HIG,Negligible,16.0
HLT,Negligible,17.0
HOLX,Medium,28.0
HON,Medium,29.0
HPE,Negligible,12.0
HPQ,Negligible,11.0
HRL,Medium,30.0
HSIC,Negligible,13.0
HST,Negligible,14.0
HSY,Medium,27.0
HUM,Medium,22.0
IBM,Low,15.0
ICE,Low,16.0
IDXX,Negligible,19.0
IEX,Medium,27.0
IFF,Medium,22.0
ILMN,Negligible,11.0
INCY,Medium,24.0
INTC,Low,17.0
INTU,Low,16.0
IP,Medium,24.0
IPG,Low,10.0
IQV,Low,19.0
IRM,Low,15.0
ISRG,Medium,24.0
IT,,22.0
ITW,Low,20.0
IVZ,,20.0
J,Medium,22.0
JBHT,Low,14.0
JCI,Low,15.0
JKHY,Low,15.0
JNJ,Medium,25.0
JNPR,Negligible,17.0
JPM,Medium,29.0
K,Medium,27.0
KEY,,23.0
KEYS,,9.0
KHC,Severe,35.0
KIM,Low,12.0
KLAC,Low,17.0
KMB,,22.0
KMI,Low,19.0
KMX,Low,12.0
KO,Medium,23.0
KR,Medium,21.0
L,Low,16.0
LDOS,Low,12.0
LEN,Medium,23.0
LH,Low,19.0
LKQ,Low,11.0
LLY,High,32.0
LMT,Medium,28.0
LNC,Negligible,18.0
LNT,Medium,22.0
LOW,Low,11.0
LRCX,Low,13.0
LUV,High,32.0
LVS,Low,18.0
LYB,,25.0
MA,Low,17.0
MAA,Low,15.0
MAR,Medium,22.0
MAS,Medium,22.0
MCD,Medium,25.0
MCHP,Severe,31.0
MCK,Low,15.0
MCO,Low,11.0
MDLZ,Medium,24.0
MDT,Medium,23.0
MET,Low,15.0
META,High,33.0
MGM,Medium,25.0
MHK,Negligible,14.0
MKC,Medium,27.0
MLM,Severe,32.0
MMC,Low,19.0
MMM,High,34.0
MNST,,28.0
MO,Medium,24.0
MOS,High,34.0
MPC,Medium,29.0
MRK,Medium,22.0
MRO,Severe,42.0
MS,Medium,22.0
MSCI,Negligible,16.0
MSFT,Low,15.0
MSI,Low,14.0
MTB,,26.0
MTD,Negligible,13.0
MU,Low,17.0
NCLH,,26.0
NDAQ,Low,12.0
NDSN,Medium,27.0
NEE,Medium,28.0
NEM,Medium,20.0
NFLX,Low,16.0
NI,,30.0
NKE,Low,17.0
NOC,Medium,27.0
NOW,Low,16.0
NRG,Severe,32.0
NSC,Medium,23.0
NTAP,Low,15.0
NTRS,Medium,24.0
NUE,Severe,32.0
NVDA,Low,13.0
NVR,Medium,20.0
NWL,Negligible,14.0
NWSA,Negligible,12.0
NXPI,Medium,22.0
O,Low,15.0
OKE,,26.0
OMC,Low,16.0
ON,,27.0
ORCL,Low,14.0
ORLY,Low,13.0
OXY,,43.0
PANW,Low,14.0
PAYX,Low,17.0
PCAR,,28.0
PCG,Severe,35.0
PEAK,,10.0
PEG,,26.0
PEP,Low,16.0
PFE,Medium,25.0
PFG,Low,17.0
PG,Medium,27.0
PGR,Medium,21.0
PH,Medium,29.0
PHM,Medium,21.0
PKG,Low,17.0
PLD,Negligible,9.0
PM,Medium,24.0
PNC,Medium,22.0
PNR,,23.0
PNW,Severe,31.0
PPG,Medium,24.0
PPL,High,34.0
PRU,Low,16.0
PSA,Negligible,12.0
PSX,Medium,29.0
PTC,Low,19.0
PWR,Severe,37.0
PXD,High,37.0
PYPL,Low,16.0
QCOM,Low,17.0
QRVO,,29.0
RCL,,21.0
REG,Negligible,11.0
REGN,Low,18.0
RF,Low,16.0
RHI,Negligible,11.0
RJF,Medium,24.0
RL,Negligible,13.0
RMD,,26.0
ROK,Low,18.0
ROL,,20.0
ROP,Medium,23.0
ROST,Low,16.0
RSG,Medium,21.0
SBAC,Negligible,12.0
SBUX,Medium,25.0
SCHW,Medium,24.0
SEE,,21.0
SHW,Medium,29.0
SJM,High,31.0
SLB,Medium,22.0
SNA,High,31.0
SNPS,Low,13.0
SO,High,33.0
SPG,Low,14.0
SPGI,Low,14.0
SRE,,25.0
STLD,High,32.0
STT,,22.0
STX,Low,11.0
STZ,,26.0
SWK,Medium,26.0
SWKS,Medium,28.0
SYF,Low,17.0
SYK,Medium,29.0
SYY,Low,12.0
T,Medium,22.0
TAP,Medium,21.0
TDG,Severe,39.0
TEL,Negligible,16.0
TER,Low,16.0
TFX,,30.0
TGT,Low,15.0
TJX,Low,14.0
TMO,Low,14.0
TMUS,Medium,26.0
TPR,Negligible,13.0
TRGP,High,34.0
TRMB,Low,13.0
TROW,Negligible,17.0
TRV,Medium,21.0
TSCO,Negligible,14.0
TSLA,Medium,29.0
TSN,High,37.0
TT,Low,16.0
TXN,Low,20.0
TXT,High,34.0
UAL,Medium,29.0
UDR,Low,12.0
UHS,Severe,33.0
ULTA,Negligible,15.0
UNH,Low,18.0
UNP,Medium,25.0
UPS,Low,20.0
URI,Low,18.0
USB,High,30.0
V,Low,16.0
VFC,Negligible,13.0
VLO,High,30.0
VMC,Medium,29.0
VRSK,Low,19.0
VRSN,Medium,21.0
VRTX,Medium,23.0
VTR,Low,13.0
VZ,Low,18.0
WAB,Medium,23.0
WAT,Low,17.0
WBA,Low,18.0
WDC,Low,11.0
WEC,,27.0
WELL,Negligible,12.0
WFC,High,33.0
WHR,Negligible,16.0
WM,Low,17.0
WMB,,24.0
WMT,Medium,25.0
WRB,Medium,22.0
WTW,Low,19.0
WY,Negligible,18.0
WYNN,,26.0
XEL,Medium,24.0
XRAY,Negligible,16.0
XYL,Negligible,16.0
YUM,Medium,21.0
ZBH,,27.0
ZTS,Low,18.0
