symbol,year,quarter,transcript_esg,esg_score,esg_risk_level
A,2022,1,thank emily welcome everyone agilents conference call first quarter fiscal year mike mcmullen agilent president ceo bob mcmahon agilent senior vice president cfo joining qa mike bob comment jacob thaysen president agilent life science applied market group sam raha president agilent diagnostics genomics group padraig mcdonnell president agilent crosslab group presentation webcast live change impact company consolidated financial statement also make forwardlooking statement financial performance company statement subject risk uncertainty valid today company assumes obligation update thanks parmeet thanks everyone joining call today momentum continues agilent team delivered strong start q exceeding expectation top bottom line q revenue billion core reported top growing core q year ago excluding covidrelated revenue core growth even better quarter continued see strength order book robust order intake throughout quarter pharma business agilents largest market continues lead way u growing global endmarket demand product service remains strong biopharma grew small molecule growth came robust momentum chemical energy business also continues delivering growth quarter pathology business grew roughly strength across region core genomics business grew low teen strength target enrichment genomics quality control product line nasd team continues deliver driving plus growth quarter meanwhile additional capacity expansion frederick gmp oligo manufacturing facility continues proceed planned bob providing q outlook along detail improved full year guidance pleased q result looking forward another strong quarter year ahead im also confident team ability execute deliver customer shareholder matter challenge thank call today look forward taking question later academia government market flat q business remained resilient despite omicron impact u university delayed inperson learning period following holiday break december reduced lab activity january seen lab activity improve february believe funding environment remains positive food segment declined low single digit strong growth comparison last year america bright spot u growing midteens europe flat china due difficult comparison lunar new year timing closing performance market environmental forensics smallest market agilent overall geographic basis region grew q led america europe quarter took advantage market volatility repurchase million worth share also paid million dividend returning combined total million shareholder balance sheet remains healthy net leverage ratio time given current market condition expect continue aggressive deploying capital represents core growth adjusting expected point impact related covid year year expect reported growth range exchange rate expected negative impact quarter expected contribute point growth closing q guidance nongaap eps expected range versus prior year,15.0,Low
A,2022,3,thank hannah welcome everyone agilents conference call third quarter fiscal year mike mcmullen agilent president ceo bob mcmahon agilent senior vice president cfo joining qa mike bob comment jacob thaysen president agilent life science applied market group sam raha president agilent diagnostics genomics group padraig mcdonnell president agilent crosslab group presentation webcast live change impact company consolidated financial statement also make forwardlooking statement financial performance company statement subject risk uncertainty valid today company assumes obligation update thanks parmeet thanks everyone joining call today third quarter demonstrated strength diversified business unstoppable one agilent team delivered excellent quarter significantly exceeding revenue earnings expectation revenue billion core top core growth q lsag business also important award quarter including c ion mobility lcqtof system winning scientist choice award best new spectroscopy product earlier month also strengthened broadened advanced material biopharma portfolio acquisition ps polymer standard service leader polymer characterization extremely pleased welcome ps team technology agilent family agilent crosslab group posted service revenue million continue make good progress construction train b seen supply chainrelated delay targeting midyear golive slight delay see continued strong demand oligobased therapy number approved drug continues increase pipeline drug development targeting disease state larger patient population confident ever longterm trajectory market business addition highlight would like also point recent release agilents esg report pricing quarter contributed point growth year year improved sequentially performance broadbased end market region grew quarter mentioned last quarter covidrelated lockdown china deferred estimated million million revenue q forecasted revenue would recovered rest calendar year team china fantastic job ramping production shipment faster expected following shutdown estimate half deferred total delivered q exceeding expectation given strong performance expect remainder delivered q acceleration thinking last quarter acceleration covidrelated shutdown recovery china contributed already strong q company perspective estimate total business grew double digit excluding accelerated recovery lc portfolio continues perform well growing important market u chemical energy continued show strength growing quarter driven chemical advanced material segment market saw strength plastic packaging chemical ongoing demand advanced material coming market semiconductor battery food segment achieved growth top growth year ago strength food market led america china environmental forensics market also grew quarter driven america china america saw increased funding support pfas testing china experienced fasterthanexpected recovery post shanghai shutdown gc gcms academia government market grew top comparison last year line expectation third quarter gross margin basis point year ago pricing action volume productivity helped offset inflationary pressure tied ongoing supply chain challenge higher logistics cost operating expense leverage driven strong top line continued attention cost management helped deliver healthy margin improvement operating margin basis point last year line tax rate quarter expected million diluted share outstanding looking cash flow balance sheet generated operating cash flow million quarter investing million capital expenditure q driven nasd expansion quarter also repurchased million worth share paid million dividend q returning combined total million shareholder quarter translates q revenue range billion billion core growth expected range exchange rate point headwind contribute point closing q guidance nongaap eps expected range versus prior year based tax rate million diluted share outstanding agilent team performed extremely well q delivering strong result driving excellent execution building strong foundation future diversified business importantly team put u excellent position deliver strong result q back parmeet take question parmeet,15.0,Low
AAPL,2022,1,good day welcome apple q fy earnings conference call today call recorded time opening remark introduction would like turn call tejas gala director investor relation corporate finance please go ahead set alltime record developed emerging market saw revenue growth across product category except ipad said would supply constrained expected aggregate experienced supply constraint higher september quarter discus result greater detail want first acknowledge toll covid continues community around world many place case count higher health system strained point throughout pandemic see spirit reflected throughout product incredible performance capability chip powerful yet easily use operating system unrivaled iphone camera system beauty magic airpods thats major product lead industry customer satisfaction respective category people expect apple solve hard problem easytouse product iphone never popular despite constraint mentioned earlier ipad lineup continues indispensable ten million people teacher student artist creator customer eager get hand ninth generation ipad feature beautiful display double storage capacity well new ipad mini ultraportable design wearable home accessory meanwhile set alltime revenue record customer loving apple watch series cuttingedge health fitness tracking feature nearly every day get note customer share heart alert led lifesaving appointment cardiologist recently ive hearing people tell apple watch saved life calling couldnt ive said still early inning health work every day encouraged positive impact also making great advancement audio seeing strong demand customer result keeping abiding belief commitment education also launched new partnership boy girl club america initiative help young people across u learn code ipad using everyone code curriculum continuing drive innovation help combat climate change already carbon neutral across operation working intensely meet goal carbon neutrality across supply chain life cycle product celebrate black history month releasing special edition apple watch black unity braided solo loop matching unity light watch face racial equity justice initiative continuing support organization blazing trail equitable world economy classroom criminal justice system recognize ever take u confront profound challenge apple determined part includes work inclusion diversity advancing every day let close saying despite uncertainty world one thing certain apple continue end every day every way deliver promise technology best turn luca go quarterly result detail also alltime record quarter product service product side revenue billion year ago despite significant supply constraint grew product category except ipad supply constraint particularly pronounced set alltime record iphone mac wearable home accessory strong level sale performance unmatched loyalty customer strength ecosystem driven current installed base active device new alltime record billion device service gross margin basis point sequentially mainly due different mix net income billion diluted earnings per share grew year year alltime record operating cash flow billion also alltime record let get detail revenue category ipad generated billion revenue year year due significant supply constraint customer demand strong across model despite supply shortage installed base ipads reached new alltime high quarter thanks high number customer new ipad fact around half customer purchasing ipad quarter new product wearable home accessory set new alltime record billion year year set alltime revenue record geographic segment also continue improve expand product offering category create unique experience showcasing deep integration hardware software service addition outstanding level sale performance globally apple watch continues extend reach twothirds customer purchasing apple watch quarter new product turning service let turn cash position due strong operating performance holiday quarter seasonality ended quarter billion cash plus marketable security decreased commercial paper billion leaving u total debt billion result net cash billion end quarter business continues generate strong cash flow also able return nearly billion shareholder december quarter included billion dividend equivalent billion open market repurchase million apple share also began billion accelerated share repurchase program november resulting initial delivery retirement million share move ahead march quarter id like review outlook includes type forwardlooking information tejas referred beginning call second expect foreign exchange point headwind compared december quarter growth rate currently expect fx negative impact growth point march quarter represented point benefit december quarter specifically related service expect grow strong double digit decelerate december quarter performance due challenging compare higher level lockdown around world last year led increased usage digital content service,17.0,Low
AAPL,2022,2,good day welcome apple q fy earnings conference call today call recorded time opening remark introduction would like turn call tejas gala director investor relation corporate finance please go ahead get detail want take moment acknowledge humanitarian tragedy unfolding ukraine continuing everything support team region donating humanitarian effort ground weve also committed donating product support refugee arriving united state also want speak unpredictable nature pandemic excited welcoming employee back office u europe time monitoring covidrelated disruption china thought path virus remain committed ever part help protect people community time remind u know future may hold customer around world ipad continues essential education creativity entertainment thats continuing see strong demand ipad even navigating significant supply constraint predicted start quarter turning wearable home accessory pleased see product continue delight user growing year year arizona example first state enable citizen securely add driver license state id apple wallet state territory puerto rico soon follow weve also announced plan introduce tap pay iphone simple secure way business accept contactless payment launching across u later year meet need customer wherever apple retail team constantly adapting better serve part protect planet also prioritizing people part longstanding commitment inclusion diversity continuing build better stronger apple rooted culture everyone belongs last month published update progress weve made inclusion diversity apple weve hired woman ever leadership role u nearly leadership opening filled people underrepresented community also recently announced million supplier employee development fund help worker supply chain discover additional educational opportunity build new skill racial equity justice initiative continuing advance work support underrepresented community help build equitable world hand luca want acknowledge challenge seeing supply chain disruption driven covid silicon shortage devastation war ukraine grew product category except ipad remains significantly supply constrained throughout quarter set march quarter record iphone mac wearable home accessory level sale performance combined unmatched customer satisfaction loyalty helped installed base active device reach alltime high major product category well geographic segment service set alltime revenue record billion year ago march quarter record every geographic segment service category company gross margin basis point last quarter seasonal loss leverage unfavorable foreign exchange partially offset favorable mix product gross margin basis point sequentially mainly driven seasonal loss leverage fx service gross margin basis point sequentially due different mix mac revenue billion march quarter record despite supply constraint yearoveryear growth driven strong demand mpowered macbook pro tim mentioned earlier continued innovation investment apple silicon clearly shown mac result last seven quarter best seven quarter ever mac investment focus mac also helped drive significant activity growing installed base fact march quarter record upgraders time nearly half customer purchasing mac new product ipad revenue billion year year due continued supply constraint customer response ipad lineup including new mpowered ipad air remains strong installed base ipads reached new alltime high quarter half customer purchasing ipad quarter new product wearable home accessory set march quarter record billion year year set march quarter revenue record developed emerging market march alaska airline began replace conventional airport selfservice kiosk ipad pro faster passenger checkin self bag drop also last month western australia police force completed world first commercial deployment carplay across entire fleet vehicle complement iphone issued officer allows officer access critical information faster road enhance public safety community also unveiled general availability apple business essential u adding new subscription service designed help small business manage every aspect apple device life cycle let turn cash position continue generate strong cash flow ended quarter billion cash marketable security repaid billion maturing debt increasing commercial paper billion leaving u total debt billion result net cash billion end quarter also raising dividend share continue plan annual increase dividend going forward move ahead june quarter id like review outlook includes type forwardlooking information tejas referred beginning call given continued uncertainty around world near term providing revenue guidance sharing directional insight based assumption covidrelated impact business worsen projecting today current quarter believe yearoveryear revenue performance june quarter impacted number factor supply constraint caused covidrelated disruption industrywide silicon shortage impacting ability meet customer demand product expect constraint range billion billion substantially larger experienced march quarter covidrelated disruption also impact customer demand china,17.0,Low
AAPL,2022,3,good day welcome apple q fy earnings conference call today call recorded time opening remark introduction would like turn call tejas gala director investor relation corporate finance please go ahead also saw june quarter revenue record developed emerging market strong doubledigit growth brazil indonesia vietnam near doubling revenue india saw great enthusiasm product service resulting alltime record installed base active device supply constraint le anticipated beginning quarter coming slightly range discussed last call know time significant challenge around world u confronting new variant covid experiencing prolonged humanitarian crisis ukraine everyone dealing consequence uncertain economic environment theyve raving iphone lineup extraordinary camera quality feature like cinematic mode macro photography create eyecatching content also proud celebrate th anniversary iphone device continues change world profound way new innovation last month apple unleashed wave innovation including completely redesigned macbook air new inch macbook pro system powered next generation apple silicon mac delivers faster cpu gpu neural engine along higher memory bandwidth new capability like pro re acceleration continues tremendous pace innovation apple silicon mac continue supply constraint mac encouraged strong response customer incredible lineup ipad like mac continued see strong demand june quarter despite ongoing supply constraint unveiled new innovation accessibility door detection live caption support user disability navigation health communication also announced apple pay later give customer flexibility make purchase apple device next generation carplay improving driving experience deeper integration vehicle hardware allowing driver control music change temperature monitor fuel level single integrated platform wearable home accessory category innovation infused across product continues win new customer supporting developer also part protect customer prevented nearly billion fraudulent transaction stopping million risky vulnerable apps app update want turn retail quarter opened door apple first store hubei province china welcoming community beautiful new space earlier today opened apple brompton road fifth store central london also expanded today apple creative studio reach even young creatives underrepresented community help realize potential bring best idea life id like take opportunity express appreciation team member working apple store customer care center channel partner store apple care team incredible work supporting customer wherever creating innovative product service enrich people life mission leading value everything give mission purpose includes commitment environment continue aggressive pursuit goal includes focus diversity inclusion committed ever making progress includes work promote racial equity justice recently announced global equity innovation hub partnership cal state northridge provide new community grant hispanicserving institution help next generation creator innovator build skill pursue highdemand career stem also celebrated graduation inaugural class developer academy detroit program designed give student skill need pursue job thriving io app economy leading value also mean leading steadfast commitment privacy security last month announced introduction passkey nextgeneration credential thats intended replace password quarter ultimately reflection resilience optimism look forward cleareyed uncertainty macro environment yet remain ever focused vision guided u beginning strive every day place imagination ignites innovation like nowhere else good people come together achieve great thing customer center everything company gross margin basis point last quarter seasonal loss leverage unfavorable foreign exchange partially offset favorable mix product gross margin basis point sequentially mainly driven seasonal loss leverage mix fx service gross margin basis point sequentially due different mix foreign exchange net income billion diluted earnings per share operating cash flow billion june quarter record fact latest survey u consumer research indicates iphone customer satisfaction also attracted record number switcher june quarter strong doubledigit yearoveryear growth mac generated revenue billion despite supply constraint negative effect continue excited longterm opportunity mac redefining pc experience relentless innovation investment focus mac helped drive significant growth installed base reached alltime high june quarter nearly half customer purchasing mac new product ipad revenue billion year year due supply constraint negative foreign exchange customer response ipad lineup continue strong across consumer education enterprise market around world ipad installed base reached new alltime high half customer quarter new product wearable home accessory revenue billion year year faced foreign exchange headwind different launch timing home accessory product supply constraint well overall macroeconomic environment despite installed base device category hit new alltime record thanks strong customer loyalty high new tool rate example apple watch continues extend reach twothirds customer purchasing apple watch quarter new product let turn cash position ended quarter billion cash marketable security repaid billion maturing debt increasing commercial paper billion leaving u total debt billion result net cash nearly billion end quarter returned billion shareholder june quarter included billion dividend equivalent billion open market repurchase million apple share continue believe great value stock maintain target reaching net cash neutral position time move ahead september quarter id like review outlook includes type forwardlooking information tejas referred beginning call,17.0,Low
AAPL,2022,4,good day welcome apple q fiscal year earnings conference call information today call recorded time opening remark introduction would like turn call tejas gala director investor relation corporate finance please go ahead im also happy report quarter siliconrelated supply constraint significant want acknowledge still living unprecedented time war eastern europe persistence covid climate disaster around world increasingly difficult economic environment lot people lot place struggling weve aimed help customer navigate challenge giving tool drive progress community customer loving iphone lineup loaded camera upgrade sharper photo action mode smoother video new safety feature like crash detection emergency so via satellite iphone even indispensable daily life iphone iphone plus come new dualcamera system industryleading durability incredible power amazing battery life iphone pro model packed even groundbreaking innovation including new camera system well alwayson display dynamic island offer whole new way interact iphone incredible long battery life stunningly rich display lightningfast speed signature part mac experience helped drive alltime record revenue mac september quarter wearable home accessory wave innovation spurred yearoveryear revenue growth september quarter new feature apple watch series including temperature sensing capability retrospective ovulation estimate crash detection helping keep customer healthier safer updated apple watch se great way user start apple watch journey delivering advanced feature new low price retail team done exceptional work helping customer explore latest product feature approach holiday season product lineup set id like share gratitude retail applecare channel team work support customer apple proud way able help customer productive get healthy stay safe unlock creative potential also understand important responsibility community serve thats continue invest education racial equity justice environment making important progress toward inclusive diverse workforce community education initiative working alongside partner help student around world learn new science technology skill summer joined community partner support coding academy across united state code academy nashville one summer chicago coding k camp girl right next door san jose weve also expanded racial equity justice initiative uk first time alongside south pink center helping aspiring creator develop voice position longlasting career back u welcomed new class black latino indigenous entrepreneur apple second impact accelerator group innovator focused using green technology mitigate effect climate change serve community affected apple care deeply protecting planet future generation end support environmental goal asked supplier become carbonneutral across entire applerelated footprint end decade also providing resource based learned achieving netzero carbon global operation across entire product lineup also continue source material recycling taking le earth every iphone made recycled rareearth element magnet including used magsafe first apple watch ipad using recycled gold plating multiple printed circuit board newest device working reduce footprint hardware making change software environmentally friendly soontobe released clean energy charging feature iphone goal reflection relentless focus future apple world continues unpredictable old challenge evolve new one emerge remains constant ability team create great product service experience force good world whatever challenge lie ahead new year moving forward always investing longterm deliver incredible innovation customer like apple thank tim good afternoon everyone pleased report record financial result september quarter capped another record fiscal year apple despite challenging volatile macroeconomic backdrop reached september quarter revenue record billion year year despite basis point negative foreign exchange impact new september quarter record america europe greater china rest asia pacific importantly constant currency grew nicely geographic segment strong doubledigit growth outside u product revenue billion last year despite fx headwind record september quarter september quarter revenue record iphone wearable home accessory alltime revenue record mac overall installed base active device continue grow nicely reached alltime high major product category geographic segment end quarter thanks extremely strong customer satisfaction loyalty high number customer new product service set september quarter revenue record billion year ago despite basis point negative impact foreign exchange reached september quarter revenue record america europe greater china rest asia pacific also many service category including alltime revenue record cloud service payment service company gross margin september quarter record basis point last quarter due unfavorable foreign exchange different mix partially offset leverage product gross margin basis point sequentially improved leverage favorable mix partially offset foreign exchange service gross margin basis point sequentially primarily due foreign exchange net income billion diluted earnings per share operating cash flow billion september quarter record let get detail revenue category three key item helped drive performance first benefited launch new macbook air macbook pro powered chip second able satisfy pentup demand carried forward significant supply constraint faced june quarter third supply position improved able fill channel fact half customer purchased ipads quarter new product wearable home accessory revenue billion growing year year driven launch apple watch new airpods pro level safe performance along strong new tool rate drove installed base device category new alltime record instance twothirds customer purchasing apple watch quarter new product moving service mentioned set september quarter record aggregate geographic segment generating billion revenue spite large foreign exchange headwind important remember achieved doubledigit constant currency growth service top growing september quarter year ago however certain service impacted macroeconomic headwind including foreign exchange digital advertising gaming area weve seen softness instance ford manufacturing employee using ipad iphone help improve quality gamechanging ford f lightning electric truck iphones powerful aseries chip advanced camera system along thirdparty io apps enabling ford automate visual quality inspection process realtime help address issue impact customer cisco expanded mac choice program offering employee help attract retain top talent given choice employee chosen mac twice often option included billion dividend equivalent billion open market repurchase million apple share ended quarter billion cash marketable security repaid billion maturing debt decreased commercial paper billion issuing billion new debt leaving u total debt billion result net cash billion end quarter continue make progress toward goal becoming net cash neutral time second mac addition increasing fx headwind challenging compare last year benefit launch associated channel fill newly redesigned macbook pro therefore expect mac revenue decline substantially year year december quarter specifically service expect grow impacted macroeconomic environment increasingly affecting foreign exchange digital advertising gaming expect gross margin,17.0,Low
AAPL,2023,1,good day everyone welcome apple q fiscal year earnings conference call today call recorded time opening remark introduction would like turn call tejas gala director investor relation corporate finance please go ahead result challenging environment revenue year year im proud way navigated circumstance seen unforeseen past several year remain incredibly confident team mission work every day let discus three factor impacted revenue performance quarter first foreign exchange headwind nearly basis point impact constant currency basis grew year year would grown vast majority market track second factor described november th update covidrelated challenge significantly impacted supply iphone pro iphone pro max lasted december constraint significantly le iphone pro iphone pro max supply planned causing ship time extend far beyond anticipated always every step way throughout pandemic continue prioritize people worked supplier ensure health safety every worker production back want third factor challenging macroeconomic environment world continues face unprecedented circumstance inflation war eastern europe enduring impact pandemic know apple immune whatever condition face approach always provide customer technology enrich life help unlock full creative potential wonderful thing part rewarding u apple hear much customer loving create let talk saw across product category starting iphone quarter mac revenue came billion line expected difficult compare time last year extremely successful launch redesigned macbook pro also faced challenging macroeconomic environment foreign exchange headwind remain confident focused longterm opportunity mac strong growth due part favorable compare december quarter year ago experienced significant supply constraint customer continue praise new lineup versatility whether new ipad pro powered newly designed ipad th generation stunning liquid retina display beautiful color revenue wearable home accessory billion year year driven foreign exchange headwind challenging macroeconomic environment remain excited longterm opportunity category continue build decadeslong commitment helping small business thrive announced apple business connect new tool give business owner even control billion people see engage product service every day business size customize key information user across apple map message wallet siri apps meanwhile retail celebrated year apple online store also opened apple pacific centre vancouver apple american dream new jersey im grateful team helped customer throughout busy holiday season apple spend lot time focused creating unparalleled experience customer every product service offer also dedicated leading value everything part work strengthened deep commitment privacy security giving user new tool protect sensitive data imessage contact key verification security key apple id advanced data protection icloud apple feel deep sense responsibility lead world better found also year closer ever focused environmental commitment set end decade example latest mac mini macbook pro model use recycled aluminum enclosure recycled rare earth element magnet first homepod using recycled gold plating multiple printed circuit board honor black history month released black unity collection including special edition apple watch black unity sport loop new matching watch face iphone wallpaper racial equity justice initiative expanding support organization focused lifting community color technology committed ever building progress around inclusion diversity quarter also announced since inception giving program year ago weve donated million humanitarian effort disaster relief childhood education thank tim good afternoon everyone tim mentioned revenue december quarter billion last year number factor significant impact result first faced difficult foreign exchange environment affected performance nearly basis point word grew revenue constant currency basis fact vast majority market second macroeconomic environment past quarter markedly challenging month ago third experienced significant supply shortage iphone pro iphone pro max november december hand positive impact th week quarter tejas mentioned beginning call product revenue billion last year due factor called time however installed base active device grew double digit achieved alltime record geographic segment major product category proud billion active device installed base operating expense billion significantly guidance range provided beginning quarter grew slower pace past took action respond current macro environment net income billion diluted earnings per share generated strong operating cash flow billion let get detail revenue category iphone revenue billion despite significant foreign exchange headwind supply constraint iphone pro iphone pro max challenging macroeconomic environment spite circumstance set alltime iphone revenue record canada italy spain saw strong growth several emerging market including alltime iphone revenue record india vietnam importantly installed base active iphones continues grow nicely alltime high across geographic segment emerging market particular installed base grew double digit record level switcher india mexico customer continue love experience product latest survey u consumer research indicating customer satisfaction iphone family mac revenue billion year year line expectation three key driver mac result first challenging compare last year launch completely reimagined macbook pro first notebook pro max second believe macro environment impacted mac performance third faced significant foreign exchange headwind performance driven two key item first december quarter year ago experienced significant supply constraint year enough supply meet demand second launched new ipad ipad pro powered chip quarter ipad installed base reached new alltime high thanks incredible customer loyalty high number new customer fact half customer purchased ipads quarter new product wearable home accessory revenue billion year year yearoveryear decline driven significant fx headwind challenging macroeconomic environment however installed base device category set new alltime record thanks largest number customer new smartwatch ever given quarter returned billion shareholder december quarter business continues generate strong cash flow included billion dividend equivalent billion open market repurchase million apple share ended quarter billion cash marketable security repaid billion maturing debt decreased commercial paper billion leaving u total debt billion,17.0,Low
ABBV,2022,1,good morning thanks joining u also call today rick gonzalez chairman board chief executive officer rob michael vice chairman finance commercial operation chief financial officer jeff stewart executive vice president chief commercial officer tom hudson senior vice president rd chief scientific officer joining u qa portion call carrie strom senior vice president president global allergan aesthetic neil gallagher vice president chief medical officer roopal thakkar vice president global regulatory affair get started statement make today may considered forwardlooking statement purpose private security litigation reform act abbvie caution forwardlooking statement subject risk uncertainty may cause actual result differ materially indicated forwardlooking statement additional information risk uncertainty included sec filing abbvie undertakes obligation update forwardlooking statement except required law today conference call nongaap financial measure used help investor understand abbvies business performance nongaap financial measure reconciled comparable gaap financial measure earnings release regulatory filing today found website following prepared remark well take question ill turn call rick thank liz good morning everyone thank joining u today ill briefly comment overall performance jeff tom rob review first quarter business highlight pipeline progress financial result detail im pleased excellent start reinforces confidence longterm fundamental business reported adjusted earnings per share exceeding expectation total net revenue billion operational basis also expectation result demonstrate strong momentum across several key product portfolio including robust doubledigit operational revenue growth skyrizi rinvoq neuroscience aesthetic making excellent progress launch several new product indication collectively add meaningful revenue abbvie commercial access ramp opportunity remainder year another exceptional start longterm growth prospect remain strong id like take brief moment thank mike severino contribution success abbvie last eight year know mike decided leave abbvie end may pursue another career opportunity wish best thank rick continue demonstrate strong commercial execution across therapeutic portfolio ill start immunology delivered global revenue billion reflecting growth operational basis humira global sale approximately billion operational basis low singledigit revenue growth u offset biosimilar competition across international market revenue operationally includes unfavorable impact acquired iprd expense factored original guidance total net revenue billion operational basis excluding unfavorable impact foreign exchange net revenue came guidance despite entry generic competition restasis adjusted operating margin ratio sale improvement basis point versus prior year result expect full year adjusted earnings per share earnings per share guidance include estimate acquired iprd expense may incurred beyond first quarter expect net revenue approximately billion current rate expect foreign exchange unfavorable impact full year sale growth anticipate net revenue approximately billion current rate expect foreign exchange unfavorable impact sale growth expect adjusted earnings per share guidance include acquired iprd expense may incurred quarter closing excellent start year strong performance across multiple area making significant progress new product launch pipeline underscoring confidence abbvies longterm growth outlook ill turn call back liz,28.0,Medium
ABBV,2022,2,good morning thank standing welcome abbvie second quarter earnings conference call operator instruction would like introduce m liz shea vice president head investor relation good morning thanks joining u also call today rick gonzalez chairman board chief executive officer rob michael vice chairman president jeff stewart executive vice president chief commercial officer tom hudson senior vice president rd chief scientific officer joining u qa portion call laura schumacher vice chairman external affair chief legal officer corporate secretary carrie strom senior vice president president global allergan aesthetic scott reents senior vice president chief financial officer neil gallagher vice president chief medical officer roopal thakkar vice president global regulatory affair get started ill note statement make today may considered forwardlooking statement purpose private security litigation reform act abbvie caution forwardlooking statement subject risk uncertainty may cause actual result differ materially indicated forwardlooking statement additional information risk uncertainty included sec filing abbvie undertakes obligation update forwardlooking statement except required law today conference call nongaap financial measure used help investor understand abbvies business performance nongaap financial measure reconciled comparable gaap financial measure earnings release regulatory filing today found website following prepared remark well take question ill turn call rick demand toxin remains strong high teen growth u despite inflation dynamic expected juvederm performance negatively impacted covidrelated lockdown china well suspension operation russia additionally u difficult prioryear comparison promotional event ran last year also saw modest impact quarter due economic pressure summary diversity portfolio allowed u deliver another strong performance despite challenge see cll market increasing imbruvica competition skyrizi rinvoq performing exceptionally well pace deliver approximately billion combined sale year neuroscience demonstrated balanced double digit growth driven migraine vraylar baylor continued robust botox cosmetic growth offset u inflationary impact filler body contouring portfolio thank rick im pleased momentum across therapeutic portfolio including continued progress making new product recent indication launch ill start immunology portfolio delivered total revenue billion reflecting growth operational basis global humira sale approximately billion operational basis growth u partially offset international performance revenue operationally due biosimilar competition skyrizi performing extremely well well ahead expectation commercial access u ramping strongly seeing encouraging new patient start physician feedback regarding rinvoqs approved profile uc favorable especially given high rate remission endoscopic improvement demonstrated across uc development program addressable patient population rinvoq uc substantial nearly patient currently used tnf therapy therefore removing assumption guidance addition increasing competition newer therapy including btk inhibitor well venclexta also continue lower imbruvicas share new patient start especially frontline cll despite increasing competitive pressure imbruvica continues total market share leader across line therapy cll venclexta global sale million operational basis reported adjusted earnings per share reflecting growth compared prior year guidance midpoint result include unfavorable impact acquired iprd expense total net revenue billion operational basis excluding unfavorable impact foreign exchange adjusted operating margin ratio sale improvement basis point versus prior year earnings per share guidance include estimate acquired iprd expense may incurred beyond second quarter expect net revenue approximately billion reflecting growth operational basis current rate expect foreign exchange unfavorable impact full year sale growth included guidance following updated assumption expect skyrizi global sale approximately billion increase million due strong market share performance imbruvica expect global revenue approximately billion given lack recovery cll market increasing competition moving pl expect adjusted gross margin sale continue forecast adjusted operating margin ratio sale turning third quarter anticipate net revenue approximately billion current rate expect foreign exchange unfavorable impact sale growth expect adjusted earnings per share guidance include acquired iprd expense may incurred quarter closing delivered strong performance quarter including meaningful contribution new product recently launched indication given momentum business well pipeline advancement wellpositioned long term ill turn call back liz,28.0,Medium
